"","value","year","month"
"1",698737,"1993","01"
"2",654965,"1993","02"
"3",673560,"1993","03"
"4",488486,"1993","04"
"5",465860,"1993","05"
"6",480561,"1993","06"
"7",450397,"1993","07"
"8",480957,"1993","08"
"9",656355,"1993","09"
"10",683199,"1993","10"
"11",743241,"1993","11"
"12",726312,"1993","12"
"13",721503,"1994","01"
"14",600925,"1994","02"
"15",459155,"1994","03"
"16",358519,"1994","04"
"17",357637,"1994","05"
"18",405760,"1994","06"
"19",287663,"1994","07"
"20",262990,"1994","08"
"21",338854,"1994","09"
"22",662983,"1994","10"
"23",628834,"1994","11"
"24",629427,"1994","12"
"25",808826,"1995","01"
"26",710653,"1995","02"
"27",749287,"1995","03"
"28",677178,"1995","04"
"29",622314,"1995","05"
"30",627641,"1995","06"
"31",555845,"1995","07"
"32",587653,"1995","08"
"33",534322,"1995","09"
"34",527817,"1995","10"
"35",772439,"1995","11"
"36",853201,"1995","12"
"37",886442,"1996","01"
"38",804697,"1996","02"
"39",667778,"1996","03"
"40",561973,"1996","04"
"41",596740,"1996","05"
"42",432882,"1996","06"
"43",368699,"1996","07"
"44",333659,"1996","08"
"45",317887,"1996","09"
"46",312137,"1996","10"
"47",541427,"1996","11"
"48",739917,"1996","12"
"49",706863,"1997","01"
"50",692553,"1997","02"
"51",714875,"1997","03"
"52",770913,"1997","04"
"53",770334,"1997","05"
"54",715061,"1997","06"
"55",575054,"1997","07"
"56",433112,"1997","08"
"57",710754,"1997","09"
"58",861483,"1997","10"
"59",767386,"1997","11"
"60",768548,"1997","12"
"61",774105,"1998","01"
"62",679121,"1998","02"
"63",875891,"1998","03"
"64",755293,"1998","04"
"65",597986,"1998","05"
"66",546277,"1998","06"
"67",608524,"1998","07"
"68",665805,"1998","08"
"69",569858,"1998","09"
"70",575741,"1998","10"
"71",670490,"1998","11"
"72",734591,"1998","12"
"73",792514,"1999","01"
"74",760108,"1999","02"
"75",755586,"1999","03"
"76",568628,"1999","04"
"77",507973,"1999","05"
"78",423887,"1999","06"
"79",386963,"1999","07"
"80",408643,"1999","08"
"81",405519,"1999","09"
"82",460778,"1999","10"
"83",624829,"1999","11"
"84",828417,"1999","12"
"85",808202,"2000","01"
"86",727588,"2000","02"
"87",779334,"2000","03"
"88",750175,"2000","04"
"89",731995,"2000","05"
"90",580479,"2000","06"
"91",753776,"2000","07"
"92",711737,"2000","08"
"93",614807,"2000","09"
"94",563487,"2000","10"
"95",584869,"2000","11"
"96",647163,"2000","12"
"97",761962,"2001","01"
"98",582829,"2001","02"
"99",526063,"2001","03"
"100",430340,"2001","04"
"101",454447,"2001","05"
"102",377699,"2001","06"
"103",389905,"2001","07"
"104",492013,"2001","08"
"105",474718,"2001","09"
"106",458939,"2001","10"
"107",772533,"2001","11"
"108",905245,"2001","12"
"109",914028,"2002","01"
"110",837182,"2002","02"
"111",864237,"2002","03"
"112",739674,"2002","04"
"113",578807,"2002","05"
"114",464766,"2002","06"
"115",442725,"2002","07"
"116",396303,"2002","08"
"117",452819,"2002","09"
"118",757460,"2002","10"
"119",607919,"2002","11"
"120",587561,"2002","12"
"121",596684,"2003","01"
"122",585460,"2003","02"
"123",445714,"2003","03"
"124",534191,"2003","04"
"125",456715,"2003","05"
"126",438692,"2003","06"
"127",285695,"2003","07"
"128",424914,"2003","08"
"129",480828,"2003","09"
"130",717458,"2003","10"
"131",626537,"2003","11"
"132",653455,"2003","12"
"133",880304,"2004","01"
"134",685545,"2004","02"
"135",733240,"2004","03"
"136",598568,"2004","04"
"137",548935,"2004","05"
"138",473402,"2004","06"
"139",393641,"2004","07"
"140",347585,"2004","08"
"141",494536,"2004","09"
"142",574641,"2004","10"
"143",680647,"2004","11"
"144",849966,"2004","12"
"145",1009743,"2005","01"
"146",952440,"2005","02"
"147",889917,"2005","03"
"148",721403,"2005","04"
"149",707629,"2005","05"
"150",636136,"2005","06"
"151",493500,"2005","07"
"152",636858,"2005","08"
"153",754262,"2005","09"
"154",726101,"2005","10"
"155",665173,"2005","11"
"156",909784,"2005","12"
"157",1031794,"2006","01"
"158",882131,"2006","02"
"159",964571,"2006","03"
"160",576629,"2006","04"
"161",497495,"2006","05"
"162",466045,"2006","06"
"163",360143,"2006","07"
"164",331259,"2006","08"
"165",307465,"2006","09"
"166",471270,"2006","10"
"167",540026,"2006","11"
"168",644662,"2006","12"
"169",857405,"2007","01"
"170",887786,"2007","02"
"171",742938,"2007","03"
"172",583116,"2007","04"
"173",709220,"2007","05"
"174",595646,"2007","06"
"175",441329,"2007","07"
"176",521304,"2007","08"
"177",889709,"2007","09"
"178",851159,"2007","10"
"179",940189,"2007","11"
"180",855793,"2007","12"
"181",929266,"2008","01"
"182",782781,"2008","02"
"183",762680,"2008","03"
"184",652405,"2008","04"
"185",621000,"2008","05"
"186",540318,"2008","06"
"187",399981,"2008","07"
"188",418737,"2008","08"
"189",441643,"2008","09"
"190",535632,"2008","10"
"191",659593,"2008","11"
"192",763195,"2008","12"
"193",866552,"2009","01"
"194",759839,"2009","02"
"195",748445,"2009","03"
"196",563715,"2009","04"
"197",625160,"2009","05"
"198",520705,"2009","06"
"199",484406,"2009","07"
"200",501368,"2009","08"
"201",756721,"2009","09"
"202",978172,"2009","10"
"203",841124,"2009","11"
"204",920320,"2009","12"
"205",903086,"2010","01"
"206",637365,"2010","02"
"207",493592,"2010","03"
"208",532810,"2010","04"
"209",507188,"2010","05"
"210",517175,"2010","06"
"211",500156,"2010","07"
"212",346988,"2010","08"
"213",464738,"2010","09"
"214",583840,"2010","10"
"215",780095,"2010","11"
"216",792264,"2010","12"
"217",564339,"2011","01"
"218",674095,"2011","02"
"219",555784,"2011","03"
"220",565609,"2011","04"
"221",711891,"2011","05"
"222",702517,"2011","06"
"223",487610,"2011","07"
"224",617198,"2011","08"
"225",532577,"2011","09"
"226",859058,"2011","10"
"227",818176,"2011","11"
"228",767073,"2011","12"
