"","value","year","month"
"518",14.8,"1994","01"
"519",40,"1994","02"
"520",39.4,"1994","03"
"521",27,"1994","04"
"522",117.7,"1994","05"
"523",57.6,"1994","06"
"524",108.7,"1994","07"
"525",88.6,"1994","08"
"526",147.7,"1994","09"
"527",117.7,"1994","10"
"528",48.4,"1994","11"
"529",61.6,"1994","12"
"530",70.6,"1995","01"
"531",57.7,"1995","02"
"532",61.8,"1995","03"
"533",86.7,"1995","04"
"534",70.1,"1995","05"
"535",52.5,"1995","06"
"536",85.4,"1995","07"
"537",53,"1995","08"
"538",92,"1995","09"
"539",96.6,"1995","10"
"540",79.4,"1995","11"
"541",5.8,"1995","12"
"542",48.2,"1996","01"
"543",28.5,"1996","02"
"544",12,"1996","03"
"545",31.6,"1996","04"
"546",62.1,"1996","05"
"547",66.3,"1996","06"
"548",49,"1996","07"
"549",23.4,"1996","08"
"550",97.8,"1996","09"
"551",55,"1996","10"
"552",74.9,"1996","11"
"553",87.7,"1996","12"
"554",57,"1997","01"
"555",130,"1997","02"
"556",76.4,"1997","03"
"557",46.9,"1997","04"
"558",90.9,"1997","05"
"559",19.5,"1997","06"
"560",66.2,"1997","07"
"561",203.7,"1997","08"
"562",126.1,"1997","09"
"563",21.2,"1997","10"
"564",12.7,"1997","11"
"565",53.1,"1997","12"
"566",178.8,"1998","01"
"567",50.1,"1998","02"
"568",33.8,"1998","03"
"569",51.7,"1998","04"
"570",83.9,"1998","05"
"571",50.8,"1998","06"
"572",130.7,"1998","07"
"573",37.6,"1998","08"
"574",81.9,"1998","09"
"575",25.9,"1998","10"
"576",94.1,"1998","11"
"577",58.9,"1998","12"
"578",101.3,"1999","01"
"579",42.9,"1999","02"
"580",89.9,"1999","03"
"581",31.8,"1999","04"
"582",104.4,"1999","05"
"583",142.9,"1999","06"
"584",57.6,"1999","07"
"585",33.1,"1999","08"
"586",87.4,"1999","09"
"587",54.8,"1999","10"
"588",49.4,"1999","11"
"589",112.4,"1999","12"
"590",75.3,"2000","01"
"591",127,"2000","02"
"592",16.1,"2000","03"
"593",33.9,"2000","04"
"594",73,"2000","05"
"595",56.6,"2000","06"
"596",89.7,"2000","07"
"597",20.4,"2000","08"
"598",29.9,"2000","09"
"599",6.6,"2000","10"
"600",26.9,"2000","11"
"601",22.4,"2000","12"
"602",75.7,"2001","01"
"603",25.2,"2001","02"
"604",35,"2001","03"
"605",93.6,"2001","04"
"606",65.8,"2001","05"
"607",165.8,"2001","06"
"608",114.6,"2001","07"
"609",47.7,"2001","08"
"610",49.5,"2001","09"
