måned,value
1993M01,698737
1993M02,654965
1993M03,673560
1993M04,488486
1993M05,465860
1993M06,480561
1993M07,450397
1993M08,480957
1993M09,656355
1993M10,683199
1993M11,743241
1993M12,726312
1994M01,721503
1994M02,600925
1994M03,459155
1994M04,358519
1994M05,357637
1994M06,405760
1994M07,287663
1994M08,262990
1994M09,338854
1994M10,662983
1994M11,628834
1994M12,629427
1995M01,808826
1995M02,710653
1995M03,749287
1995M04,677178
1995M05,622314
1995M06,627641
1995M07,555845
1995M08,587653
1995M09,534322
1995M10,527817
1995M11,772439
1995M12,853201
1996M01,886442
1996M02,804697
1996M03,667778
1996M04,561973
1996M05,596740
1996M06,432882
1996M07,368699
1996M08,333659
1996M09,317887
1996M10,312137
1996M11,541427
1996M12,739917
1997M01,706863
1997M02,692553
1997M03,714875
1997M04,770913
1997M05,770334
1997M06,715061
1997M07,575054
1997M08,433112
1997M09,710754
1997M10,861483
1997M11,767386
1997M12,768548
1998M01,774105
1998M02,679121
1998M03,875891
1998M04,755293
1998M05,597986
1998M06,546277
1998M07,608524
1998M08,665805
1998M09,569858
1998M10,575741
1998M11,670490
1998M12,734591
1999M01,792514
1999M02,760108
1999M03,755586
1999M04,568628
1999M05,507973
1999M06,423887
1999M07,386963
1999M08,408643
1999M09,405519
1999M10,460778
1999M11,624829
1999M12,828417
2000M01,808202
2000M02,727588
2000M03,779334
2000M04,750175
2000M05,731995
2000M06,580479
2000M07,753776
2000M08,711737
2000M09,614807
2000M10,563487
2000M11,584869
2000M12,647163
2001M01,761962
2001M02,582829
2001M03,526063
2001M04,430340
2001M05,454447
2001M06,377699
2001M07,389905
2001M08,492013
2001M09,474718
2001M10,458939
2001M11,772533
2001M12,905245
2002M01,914028
2002M02,837182
2002M03,864237
2002M04,739674
2002M05,578807
2002M06,464766
2002M07,442725
2002M08,396303
2002M09,452819
2002M10,757460
2002M11,607919
2002M12,587561
2003M01,596684
2003M02,585460
2003M03,445714
2003M04,534191
2003M05,456715
2003M06,438692
2003M07,285695
2003M08,424914
2003M09,480828
2003M10,717458
2003M11,626537
2003M12,653455
2004M01,880304
2004M02,685545
2004M03,733240
2004M04,598568
2004M05,548935
2004M06,473402
2004M07,393641
2004M08,347585
2004M09,494536
2004M10,574641
2004M11,680647
2004M12,849966
2005M01,1009743
2005M02,952440
2005M03,889917
2005M04,721403
2005M05,707629
2005M06,636136
2005M07,493500
2005M08,636858
2005M09,754262
2005M10,726101
2005M11,665173
2005M12,909784
2006M01,1031794
2006M02,882131
2006M03,964571
2006M04,576629
2006M05,497495
2006M06,466045
2006M07,360143
2006M08,331259
2006M09,307465
2006M10,471270
2006M11,540026
2006M12,644662
2007M01,857405
2007M02,887786
2007M03,742938
2007M04,583116
2007M05,709220
2007M06,595646
2007M07,441329
2007M08,521304
2007M09,889709
2007M10,851159
2007M11,940189
2007M12,855793
2008M01,929266
2008M02,782781
2008M03,762680
2008M04,652405
2008M05,621000
2008M06,540318
2008M07,399981
2008M08,418737
2008M09,441643
2008M10,535632
2008M11,659593
2008M12,763195
2009M01,866552
2009M02,759839
2009M03,748445
2009M04,563715
2009M05,625160
2009M06,520705
2009M07,484406
2009M08,501368
2009M09,756721
2009M10,978172
2009M11,841124
2009M12,920320
2010M01,903086
2010M02,637365
2010M03,493592
2010M04,532810
2010M05,507188
2010M06,517175
2010M07,500156
2010M08,346988
2010M09,464738
2010M10,583840
2010M11,780095
2010M12,792264
2011M01,564339
2011M02,674095
2011M03,555784
2011M04,565609
2011M05,711891
2011M06,702517
2011M07,487610
2011M08,617198
2011M09,532577
2011M10,859058
2011M11,818176
2011M12,767073
