referenceTime,value
1950-12-31T23:00:00Z,16.5
1951-01-31T23:00:00Z,7.9
1951-02-28T23:00:00Z,36.8
1951-03-31T23:00:00Z,35.4
1951-04-30T23:00:00Z,29
1951-05-31T23:00:00Z,59.3
1951-06-30T23:00:00Z,101.2
1951-07-31T23:00:00Z,66.8
1951-08-31T23:00:00Z,87.3
1951-09-30T23:00:00Z,32.6
1951-10-31T23:00:00Z,65.2
1951-11-30T23:00:00Z,149
1951-12-31T23:00:00Z,40.1
1952-01-31T23:00:00Z,105.1
1952-02-29T23:00:00Z,39
1952-03-31T23:00:00Z,69.8
1952-04-30T23:00:00Z,39.9
1952-05-31T23:00:00Z,104.9
1952-06-30T23:00:00Z,70
1952-07-31T23:00:00Z,68.5
1952-08-31T23:00:00Z,113
1952-09-30T23:00:00Z,15.8
1952-10-31T23:00:00Z,38.5
1952-11-30T23:00:00Z,67.2
1952-12-31T23:00:00Z,71.9
1953-01-31T23:00:00Z,45.9
1953-02-28T23:00:00Z,144.5
1953-03-31T23:00:00Z,54.7
1953-04-30T23:00:00Z,81.8
1953-05-31T23:00:00Z,37.6
1953-06-30T23:00:00Z,70.3
1953-07-31T23:00:00Z,91.2
1953-08-31T23:00:00Z,63.6
1953-09-30T23:00:00Z,72.1
1953-10-31T23:00:00Z,80
1953-11-30T23:00:00Z,69.6
1953-12-31T23:00:00Z,59.7
1954-01-31T23:00:00Z,9.4
1954-02-28T23:00:00Z,39.1
1954-03-31T23:00:00Z,52
1954-04-30T23:00:00Z,15.5
1954-05-31T23:00:00Z,33.2
1954-06-30T23:00:00Z,29.8
1954-07-31T23:00:00Z,147
1954-08-31T23:00:00Z,45.7
1954-09-30T23:00:00Z,65.3
1954-10-31T23:00:00Z,29.2
1954-11-30T23:00:00Z,49.6
1954-12-31T23:00:00Z,85.3
1955-01-31T23:00:00Z,27
1955-02-28T23:00:00Z,69.7
1955-03-31T23:00:00Z,46.9
1955-04-30T23:00:00Z,53.6
1955-05-31T23:00:00Z,51.5
1955-06-30T23:00:00Z,39.7
1955-07-31T23:00:00Z,34.8
1955-08-31T23:00:00Z,93.8
